SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,32,29,301740,455014,656377,31,10126,342441,658939,51464.7299,8,4,40
 bmuta,16,32,26,301740,433821,626980,28,10126,324932,658939,19593.7256,,,
,,,,,,,,,,,,,,
 bmuta,16,32,31,301740,489243,680720,31,10126,339428,675917,17331.7111,,,
,,,,,,,,,,,,,,
 bmuta,16,32,29,301740,454973,656377,31,10126,338453,658939,22869.7466,,,
,,,,,,,,,,,,,,
 bmuta,16,32,27,301740,442234,656377,30,10126,333158,658939,66721.6277,,,
,,,,,,,,,,,,,,
 bmuta,16,32,31,301740,466609,656377,32,10126,347263,658939,61776.396,,,
,,,,,,,,,,,,,,
 bmuta,16,32,27,301740,441073,628975,29,10126,320229,658939,22744.9458,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460994,656377,32,10126,347263,658939,58796.7769,,,
,,,,,,,,,,,,,,
 bmuta,16,32,16,301740,319418,337213,28,10126,313902,620401,16707.7071,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460284,635626,31,10126,337295,658939,13322.4854,,,
,,,,,,,,,,,,8,4,80
 bmuta,16,32,31,301740,466609,656377,32,10126,347265,658939,46878.3005,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460897,656377,30,10126,327771,656276,10358.4664,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460284,635626,31,10126,337297,658939,12292.8788,,,
,,,,,,,,,,,,,,
 bmuta,16,32,29,301740,476126,678467,31,10126,341255,675917,10467.6671,,,
,,,,,,,,,,,,,,
 bmuta,16,32,28,301740,448739,656377,32,10126,347265,658939,46659.8991,,,
,,,,,,,,,,,,,,
 bmuta,16,32,31,301740,466609,656377,32,10126,347265,658939,51433.5297,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460897,656377,31,10126,338454,658939,55364.7549,,,
,,,,,,,,,,,,,,
 bmuta,16,32,28,301740,477148,699011,28,10126,315192,675917,11029.2707,,,
,,,,,,,,,,,,,,
 bmuta,16,32,29,301740,455036,656377,31,10126,341943,658939,33509.0148,,,
,,,,,,,,,,,,,,
 bmuta,16,32,29,301740,455026,656377,29,10126,325673,656276,26738.5714,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,461005,656377,32,10126,347265,658939,47751.9061,,,
,,,,,,,,,,,,8,4,160
 bmuta,16,32,31,301740,466609,656377,31,10126,337213,656276,15584.4999,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460984,656377,32,10126,347267,658939,27128.5739,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,460993,656377,32,10126,347267,658939,39078.2505,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,461035,656377,31,10126,337213,656276,10966.8703,,,
,,,,,,,,,,,,,,
 bmuta,16,32,30,301740,482862,680248,30,10126,336738,675917,19484.5249,,,
,,,,,,,,,,,,,,
